date,equity
2025-08-05,20000.0
2025-08-06,20000.0
2025-08-07,20000.0
2025-08-08,20000.0
2025-08-11,20000.0
2025-08-12,20000.0
2025-08-13,20000.0
2025-08-14,20000.0
2025-08-15,20000.0
2025-08-18,20000.0
2025-08-19,20000.0
2025-08-20,20000.0
2025-08-21,20000.0
2025-08-22,20000.0
2025-08-25,20000.0
2025-08-26,20000.0
2025-08-27,20000.0
2025-08-28,20000.0
2025-08-29,20000.0
2025-09-01,20000.0
2025-09-02,20000.0
2025-09-03,20000.0
2025-09-04,20000.0
2025-09-05,20000.0
2025-09-08,20000.0
2025-09-09,20000.0
2025-09-10,20000.0
2025-09-11,20000.0
2025-09-12,20000.0
