peak_date,trough_date,recovery_date,depth_pct,gross_loss,worst_symbol,worst_reason,trades_in_window
2025-08-05,2025-08-05,2025-08-05,0.0,0.0,,,0
2025-08-11,2025-08-11,2025-08-11,0.0,0.0,,,0
2025-08-18,2025-08-18,2025-08-18,0.0,0.0,,,0
