iShares Russell 2000 ETF
Fund Holdings as of,"Sep 11, 2025"
Inception Date,"May 22, 2000"
Shares Outstanding,"283,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"FLR","FLUOR CORP","Industrials","Equity","171,883,019.79","0.25","171,883,019.79","4,160,809.00","41.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AHR","AMERICAN HEALTHCARE REIT INC","Real Estate","Equity","171,564,881.16","0.25","171,564,881.16","4,015,092.00","42.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LRN","STRIDE INC","Consumer Discretionary","Equity","171,323,399.36","0.25","171,323,399.36","1,063,592.00","161.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GH","GUARDANT HEALTH INC","Health Care","Equity","168,639,632.86","0.24","168,639,632.86","2,969,269.00","56.80","United States","NASDAQ","USD","1.00","USD","-"
"CMC","COMMERCIAL METALS","Materials","Equity","167,533,530.32","0.24","167,533,530.32","2,826,616.00","59.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PRIM","PRIMORIS SERVICES CORP","Industrials","Equity","165,905,352.36","0.24","165,905,352.36","1,351,461.00","122.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JXN","JACKSON FINANCIAL INC CLASS A","Financials","Equity","165,814,733.16","0.24","165,814,733.16","1,674,558.00","99.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HL","HECLA MINING","Materials","Equity","165,780,496.90","0.24","165,780,496.90","14,868,206.00","11.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBP","INSTALLED BUILDING PRODUCTS INC","Consumer Discretionary","Equity","158,630,105.29","0.23","158,630,105.29","582,749.00","272.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ESNT","ESSENT GROUP LTD","Financials","Equity","158,522,094.36","0.23","158,522,094.36","2,466,886.00","64.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRNS","VARONIS SYSTEMS INC","Information Technology","Equity","157,206,617.12","0.23","157,206,617.12","2,748,848.00","57.19","United States","NASDAQ","USD","1.00","USD","-"
"JOBY","JOBY AVIATION INC CLASS A","Industrials","Equity","156,895,386.48","0.22","156,895,386.48","11,468,961.00","13.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CYTK","CYTOKINETICS INC","Health Care","Equity","154,365,079.08","0.22","154,365,079.08","2,895,069.00","53.32","United States","NASDAQ","USD","1.00","USD","-"
"SANM","SANMINA CORP","Information Technology","Equity","153,895,011.00","0.22","153,895,011.00","1,306,964.00","117.75","United States","NASDAQ","USD","1.00","USD","-"
