iShares Russell 1000 ETF
Fund Holdings as of,"Sep 11, 2025"
Inception Date,"May 15, 2000"
Shares Outstanding,"122,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","174,060,176.57","0.39","174,060,176.57","221,809.00","784.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","167,739,830.32","0.38","167,739,830.32","681,094.00","246.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","167,570,112.50","0.38","167,570,112.50","1,263,250.00","132.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","165,544,946.75","0.37","165,544,946.75","342,325.00","483.59","United States","NASDAQ","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","160,617,389.94","0.36","160,617,389.94","520,758.00","308.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","156,308,577.75","0.35","156,308,577.75","1,835,685.00","85.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","154,708,458.28","0.35","154,708,458.28","1,321,391.00","117.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","153,865,454.10","0.35","153,865,454.10","975,994.00","157.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","150,725,424.81","0.34","150,725,424.81","5,111,069.00","29.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","145,522,591.96","0.33","145,522,591.96","337,342.00","431.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","144,011,058.86","0.32","144,011,058.86","998,482.00","144.23","United States","NASDAQ","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","141,394,104.60","0.32","141,394,104.60","150,695.00","938.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","138,907,679.04","0.31","138,907,679.04","1,467,128.00","94.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","135,850,295.96","0.31","135,850,295.96","3,077,714.00","44.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","135,234,557.77","0.30","135,234,557.77","275,197.00","491.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","133,448,010.30","0.30","133,448,010.30","1,350,415.00","98.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","131,813,952.52","0.30","131,813,952.52","400,261.00","329.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","131,384,693.72","0.30","131,384,693.72","198,911.00","660.52","United States","NASDAQ","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","131,316,138.24","0.30","131,316,138.24","839,188.00","156.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","130,346,584.00","0.29","130,346,584.00","23,708.00","5,498.00","United States","NASDAQ","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","129,412,633.17","0.29","129,412,633.17","801,267.00","161.51","United States","NASDAQ","USD","1.00","USD","-"
"GEV","GE VERNOVA INC","Industrials","Equity","126,342,972.80","0.28","126,342,972.80","199,232.00","634.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","126,129,889.44","0.28","126,129,889.44","111,208.00","1,134.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","123,285,842.24","0.28","123,285,842.24","223,798.00","550.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","122,666,969.88","0.28","122,666,969.88","814,684.00","150.57","United States","NASDAQ","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","122,113,624.35","0.27","122,113,624.35","662,401.00","184.35","United States","NASDAQ","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","118,563,394.05","0.27","118,563,394.05","260,093.00","455.85","United States","NASDAQ","USD","1.00","USD","-"
